uid,target_id,dec,kepid,kepler_name,kepoi_name,koi_bin_oedp_sig,koi_comment,koi_count,koi_datalink_dvr,koi_datalink_dvs,koi_depth,koi_depth_err1,koi_depth_err2,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_msky,koi_dikco_msky_err,koi_disp_prov,koi_disposition,koi_dor,koi_dor_err1,koi_dor_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_fittype,koi_fpflag_co,koi_fpflag_ec,koi_fpflag_nt,koi_fpflag_ss,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_stat_sig,koi_gmag,koi_hmag,koi_imag,koi_impact,koi_impact_err1,koi_impact_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_jmag,koi_kepmag,koi_kmag,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_limbdark_mod,koi_longp,koi_longp_err1,koi_longp_err2,koi_max_mult_ev,koi_max_sngle_ev,koi_model_chisq,koi_model_dof,koi_model_snr,koi_num_transits,koi_parm_prov,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_quarters,koi_rmag,koi_ror,koi_ror_err1,koi_ror_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_score,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_sparprov,koi_srad,koi_srad_err1,koi_srad_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_tce_delivname,koi_tce_plnt_num,koi_teq,koi_teq_err1,koi_teq_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_trans_mod,koi_vet_date,koi_vet_stat,koi_zmag,ra
kplr012105051-01,12105051,50.651611,12105051,,K00141.01,,,1,012/012105/012105051/dv/kplr012105051-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,14.261,12.052,13.441,,,,,,,,,,,,,12.489,13.687,11.986,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,2.624234833,3.89e-07,-3.89e-07,,,,,13.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454965.305,0.000122,-0.000122,132.304988,0.000122,-0.000122,,2018-08-16,Done,13.384,288.0383
kplr002307199-01,2307199,37.630959,2307199,,K00151.01,,,1,002/002307/002307199/dv/kplr002307199-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,14.391,12.605,13.832,,,,,,,,,,,,,12.891,14.0,12.554,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,13.4471791,1.247e-05,-1.247e-05,,,,,13.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454965.831,0.00077,-0.00077,132.830555,0.00077,-0.00077,,2018-08-16,Done,13.76,292.37476
kplr004178389-01,4178389,39.26268,4178389,,K00185.01,,,1,004/004178/004178389/dv/kplr004178389-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,14.695,12.708,14.028,,,,,,,,,,,,,13.052,14.228,12.695,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,23.210509958,2.125e-06,-2.125e-06,,,,,14.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454967.386,7.47e-05,-7.47e-05,134.386378,7.47e-05,-7.47e-05,,2018-08-16,Done,13.945,296.18524
kplr005972334-03,5972334,41.221958,5972334,,K00191.03,,,4,005/005972/005972334/dv/kplr005972334-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,15.562,13.326,14.747,,,,,,,,,,,,,13.732,14.991,13.25,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,0.708621057,1.357e-06,-1.357e-06,,,,,14.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454966.366,0.00166,-0.00166,133.36565,0.00166,-0.00166,,2018-08-16,Done,14.68,295.28723
kplr010602291-01,10602291,47.800629,10602291,,K00210.01,,,1,010/010602/010602291/dv/kplr010602291-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,15.326,13.355,14.685,,,,,,,,,,,,,13.679,14.877,13.299,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,20.92735802,8.378e-06,-8.378e-06,,,,,14.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454972.326,0.000316,-0.000316,139.325791,0.000316,-0.000316,,2018-08-16,Done,14.556,292.78235
kplr010656508-01,10656508,47.972099,10656508,,K00211.01,,,1,010/010656/010656508/dv/kplr010656508-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,15.384,13.624,14.82,,,,,,,,,,,,,13.909,14.989,13.586,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,124.03589939,9.126e-05,-9.126e-05,,,,,14.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454969.015,0.00065,-0.00065,136.015098,0.00065,-0.00065,,2018-08-16,Done,14.788,287.97031
kplr006300348-01,6300348,41.60318,6300348,,K00212.01,,,1,006/006300/006300348/dv/kplr006300348-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,15.311,13.369,14.663,,,,,,,,,,,,,13.682,14.858,13.335,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,5.69590202,1.593e-06,-1.593e-06,,,,,14.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454972.232,0.000221,-0.000221,139.231637,0.000221,-0.000221,,2018-08-16,Done,14.559,296.1398
kplr006185476-01,6185476,41.519199,6185476,,K00227.01,,,1,006/006185/006185476/dv/kplr006185476-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,15.526,11.605,13.727,,,,,,,,,,,,,12.28,14.267,11.493,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,17.65737838,1.528e-05,-1.528e-05,,,,,14.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454969.586,0.000702,-0.000702,136.585509,0.000702,-0.000702,,2018-08-16,Done,13.453,284.35202
kplr007219825-03,7219825,42.78196,7219825,,K00238.03,,,3,007/007219/007219825/dv/kplr007219825-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,14.458,12.725,13.891,,,,,,,,,,,,,12.982,14.061,12.655,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,362.97828,0.01599,-0.01599,,,,,14.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2455089.501,0.0258,-0.0258,256.5011,0.0258,-0.0258,,2018-08-16,Done,13.819,296.99863
kplr007021681-02,7021681,42.542629,7021681,,K00255.02,,,3,007/007021/007021681/dv/kplr007021681-20160209194854_dvr.pdf,,,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,16.484,12.236,14.519,,,,,,,,,,,,,12.912,15.108,12.08,,,,,,,,,,,,,,,q1_q17_dr25_sup_koi,CANDIDATE,13.6032081,0.0001832,-0.0001832,,,,,15.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,2454973.397,0.0113,-0.0113,140.3975,0.0113,-0.0113,,2018-08-16,Done,14.143,287.85812
